Hora;Sudeste / Centro-Oeste;Sul;Nordeste;Norte
00:00;243,16;243,16;80,83;243,16
01:00;153,70;153,71;74,42;153,70
02:00;145,05;145,06;58,60;145,05
03:00;58,60;58,60;58,60;58,60
04:00;149,13;149,14;58,60;149,13
05:00;154,24;154,24;58,60;154,24
06:00;127,42;127,43;58,60;127,42
07:00;58,60;58,60;58,60;58,60
08:00;58,60;58,60;58,60;58,60
09:00;58,60;58,60;58,60;58,60
10:00;58,60;58,60;58,60;58,60
11:00;58,60;58,60;58,60;58,60
12:00;58,60;58,60;58,60;58,60
13:00;58,60;58,60;58,60;58,60
14:00;58,60;58,60;58,60;58,60
15:00;223,04;223,05;223,03;223,04
16:00;285,94;285,94;285,93;285,94
17:00;306,25;306,24;306,24;306,25
18:00;320,70;320,69;281,25;320,69
19:00;322,86;322,86;233,99;322,86
20:00;319,70;319,69;205,99;316,82
21:00;315,22;315,21;214,26;315,21
22:00;309,75;309,74;233,44;309,75
23:00;302,63;302,62;242,12;302,63
